Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood
S00568,24,Female,Undergraduate,Python Basics,360,2,61,5,77,High,100,Reading/Writing,5,No
S00569,24,Male,High School,Python Basics,276,4,46,3,70,Medium,74,Visual,5,Yes
S00570,33,Male,High School,Python Basics,265,5,60,3,79,Medium,100,Auditory,5,No
S00571,31,Male,Postgraduate,Python Basics,184,1,68,4,79,Medium,100,Reading/Writing,5,No
S00572,35,Female,Undergraduate,Machine Learning,262,5,47,6,100,Low,89,Visual,5,Yes
S00573,28,Male,High School,Machine Learning,50,5,100,5,89,High,58,Reading/Writing,3,No
S00574,23,Male,Postgraduate,Python Basics,240,2,58,4,93,Medium,100,Kinesthetic,3,No
S00575,15,Female,Postgraduate,Python Basics,291,4,69,1,97,Medium,100,Reading/Writing,5,No
S00576,27,Female,Undergraduate,Data Science,356,5,75,5,93,Low,100,Visual,4,Yes
S00577,18,Male,Undergraduate,Data Science,273,5,86,2,100,High,100,Reading/Writing,5,No
S00578,15,Female,Postgraduate,Python Basics,334,3,70,5,76,Low,100,Kinesthetic,5,Yes
S00579,46,Female,Postgraduate,Python Basics,82,1,45,5,93,High,53,Kinesthetic,5,Yes
S00580,48,Male,Undergraduate,Data Science,294,4,74,3,100,Low,100,Reading/Writing,4,Yes
S00581,42,Female,Undergraduate,Data Science,132,1,78,5,71,High,73,Reading/Writing,5,No
S00582,45,Female,Undergraduate,Python Basics,179,2,50,5,74,High,69,Kinesthetic,3,No
S00583,22,Male,Undergraduate,Machine Learning,281,5,82,8,76,Low,100,Kinesthetic,5,Yes
S00584,40,Female,High School,Machine Learning,427,5,73,4,100,Medium,100,Auditory,5,No
S00585,48,Male,Undergraduate,Python Basics,337,1,63,6,65,Medium,100,Auditory,5,No
S00586,17,Male,Postgraduate,Python Basics,301,2,54,5,82,Low,100,Kinesthetic,5,Yes
S00587,26,Female,Undergraduate,Data Science,298,3,62,8,88,High,94,Reading/Writing,5,No
S00588,15,Female,Undergraduate,Data Science,228,3,72,5,73,Medium,98,Visual,5,No
S00589,19,Female,Undergraduate,Machine Learning,245,5,63,2,66,Medium,100,Reading/Writing,5,No
S00590,44,Male,High School,Python Basics,342,5,55,3,68,Low,100,Reading/Writing,4,Yes
S00591,44,Female,Undergraduate,Data Science,161,4,52,8,76,Medium,71,Auditory,1,No
S00592,31,Male,Undergraduate,Machine Learning,359,1,66,9,73,High,100,Auditory,5,No
S00593,37,Female,High School,Machine Learning,261,5,77,1,100,Medium,100,Auditory,5,No
S00594,29,Female,High School,Machine Learning,382,2,62,2,73,High,100,Kinesthetic,5,No
S00595,35,Female,Postgraduate,Data Science,396,1,89,3,75,High,100,Kinesthetic,5,No
S00596,28,Male,High School,Data Science,132,4,42,6,85,Low,69,Reading/Writing,2,Yes
S00597,16,Female,High School,Python Basics,241,3,71,7,86,Low,86,Reading/Writing,4,Yes
S00598,25,Female,Postgraduate,Python Basics,214,4,40,6,31,High,62,Visual,3,Yes
S00599,48,Male,Undergraduate,Machine Learning,118,1,60,8,67,Medium,63,Reading/Writing,3,No
S00600,48,Male,Undergraduate,Machine Learning,196,3,69,5,74,Low,79,Reading/Writing,5,Yes
S00601,32,Female,Postgraduate,Data Science,544,2,61,8,65,Medium,100,Auditory,3,No
S00602,44,Female,High School,Data Science,360,3,36,4,93,Medium,99,Auditory,5,Yes
S00603,29,Female,Undergraduate,Python Basics,491,3,64,4,58,High,100,Auditory,4,Yes
S00604,41,Male,Undergraduate,Python Basics,382,2,64,8,97,Low,100,Auditory,4,Yes
S00605,48,Male,Postgraduate,Python Basics,225,5,83,6,51,Low,73,Auditory,3,Yes
S00606,47,Male,Undergraduate,Data Science,261,5,48,11,81,High,100,Visual,5,Yes
S00607,38,Male,Undergraduate,Machine Learning,358,3,87,2,100,High,100,Visual,5,No
S00608,29,Female,Undergraduate,Python Basics,343,3,28,5,68,Medium,85,Visual,4,Yes
S00609,44,Male,Undergraduate,Python Basics,242,4,48,3,80,High,95,Auditory,3,Yes
S00610,31,Male,Undergraduate,Data Science,149,5,72,8,97,Medium,81,Kinesthetic,4,No
S00611,19,Male,Undergraduate,Python Basics,600,2,68,4,96,High,100,Auditory,5,No
S00612,43,Female,Undergraduate,Machine Learning,285,3,88,7,88,Medium,100,Auditory,3,No
S00613,18,Female,Undergraduate,Data Science,267,3,68,9,79,Medium,81,Visual,3,No
S00614,24,Male,Undergraduate,Python Basics,311,4,66,6,78,High,100,Auditory,4,No
S00615,31,Male,Undergraduate,Python Basics,275,4,74,4,61,Medium,100,Visual,4,No
S00616,24,Female,Postgraduate,Data Science,312,4,32,2,62,High,100,Auditory,5,Yes
S00617,31,Female,Undergraduate,Data Science,428,1,46,7,80,Medium,100,Reading/Writing,4,Yes
S00618,34,Female,Postgraduate,Python Basics,287,2,46,9,83,High,100,Kinesthetic,4,Yes
S00619,38,Female,Postgraduate,Machine Learning,183,1,76,4,100,High,100,Kinesthetic,5,No
S00620,19,Female,Undergraduate,Data Science,283,3,85,7,95,Medium,100,Visual,3,No
S00621,48,Female,Undergraduate,Machine Learning,253,4,95,7,79,High,100,Reading/Writing,5,No
S00622,20,Female,Postgraduate,Python Basics,442,4,76,4,90,Medium,100,Kinesthetic,4,No
S00623,16,Female,Undergraduate,Machine Learning,417,4,81,3,56,High,100,Visual,5,Yes
S00624,27,Male,Postgraduate,Python Basics,310,5,71,3,83,Medium,100,Auditory,5,No
S00625,25,Male,Undergraduate,Python Basics,172,2,56,6,90,High,79,Auditory,3,No
S00626,37,Male,Undergraduate,Python Basics,177,1,45,3,89,Medium,82,Reading/Writing,5,Yes
S00627,30,Male,High School,Python Basics,301,2,46,4,78,Medium,100,Kinesthetic,5,Yes
S00628,45,Male,Undergraduate,Machine Learning,333,4,47,5,88,Low,100,Auditory,2,Yes
S00629,25,Male,Postgraduate,Python Basics,262,3,76,5,78,Medium,100,Visual,4,No
S00630,30,Female,Undergraduate,Python Basics,251,5,63,9,87,High,89,Auditory,4,No
S00631,22,Female,Undergraduate,Machine Learning,240,2,53,2,66,Medium,75,Auditory,4,No
S00632,18,Male,Postgraduate,Data Science,297,3,35,3,61,Medium,81,Kinesthetic,5,Yes
S00633,18,Male,Undergraduate,Machine Learning,61,4,54,5,99,Medium,62,Kinesthetic,3,No
S00634,39,Female,Undergraduate,Machine Learning,189,4,63,7,78,Medium,100,Visual,5,No
S00635,17,Female,Undergraduate,Machine Learning,237,4,44,2,86,Low,87,Reading/Writing,5,Yes
S00636,46,Female,Undergraduate,Python Basics,420,4,100,2,73,High,100,Reading/Writing,5,No
S00637,17,Male,High School,Python Basics,218,5,49,7,63,High,90,Auditory,4,Yes
S00638,41,Female,Undergraduate,Python Basics,318,5,87,0,75,Medium,100,Visual,5,No
S00639,43,Male,Undergraduate,Data Science,322,2,62,6,87,Low,100,Reading/Writing,5,Yes
S00640,46,Male,Undergraduate,Python Basics,429,4,59,4,49,Low,100,Reading/Writing,4,Yes
S00641,33,Female,Undergraduate,Data Science,426,5,66,4,84,Medium,100,Auditory,5,No
S00642,35,Female,Undergraduate,Python Basics,294,3,66,9,91,Medium,100,Visual,4,No
S00643,19,Male,High School,Machine Learning,252,5,73,6,69,High,99,Reading/Writing,3,No
S00644,32,Female,Undergraduate,Python Basics,233,5,55,7,84,Medium,87,Kinesthetic,4,No
S00645,42,Female,High School,Data Science,275,2,72,9,84,High,100,Kinesthetic,5,No
S00646,36,Male,Undergraduate,Data Science,256,5,65,7,68,Medium,94,Auditory,5,No
S00647,35,Female,Postgraduate,Python Basics,355,3,46,6,77,Medium,100,Auditory,5,Yes
S00648,20,Male,Undergraduate,Machine Learning,342,4,61,5,80,Medium,100,Auditory,5,No
S00649,15,Male,Undergraduate,Python Basics,359,1,83,5,70,Low,100,Auditory,5,Yes
S00650,19,Female,High School,Python Basics,425,2,67,2,76,Medium,100,Reading/Writing,5,No
S00651,26,Male,High School,Python Basics,486,3,66,3,81,High,100,Visual,5,No
S00652,40,Male,Undergraduate,Machine Learning,312,2,58,4,85,Medium,100,Auditory,5,No
S00653,48,Female,High School,Data Science,409,4,63,6,100,High,100,Auditory,4,No
S00654,28,Female,Undergraduate,Machine Learning,264,5,73,4,67,Medium,88,Reading/Writing,4,No
S00655,40,Female,High School,Data Science,418,5,66,6,100,Low,100,Auditory,5,Yes
S00656,41,Male,Postgraduate,Data Science,406,3,72,6,68,Medium,100,Auditory,5,No
S00657,23,Male,Undergraduate,Data Science,400,4,72,6,82,Medium,100,Visual,4,No
S00658,40,Female,High School,Machine Learning,309,1,44,1,93,Medium,100,Kinesthetic,5,Yes
S00659,36,Male,Postgraduate,Python Basics,233,1,69,4,88,Low,81,Auditory,5,Yes
S00660,44,Female,Undergraduate,Python Basics,160,5,55,3,45,Medium,51,Reading/Writing,2,Yes
S00661,31,Female,High School,Python Basics,295,4,53,5,96,Low,100,Visual,5,Yes
S00662,40,Male,Undergraduate,Python Basics,453,4,67,11,86,Low,100,Reading/Writing,5,Yes
S00663,15,Female,Undergraduate,Python Basics,269,3,69,8,73,Medium,91,Visual,5,No
S00664,22,Male,Undergraduate,Machine Learning,378,1,71,4,80,Medium,100,Visual,5,No
S00665,49,Male,High School,Machine Learning,384,3,33,6,84,High,100,Auditory,5,Yes
S00666,29,Female,Undergraduate,Machine Learning,271,2,75,4,91,Medium,99,Auditory,5,No
S00667,36,Male,High School,Machine Learning,431,4,74,7,90,High,100,Auditory,2,No
S00668,28,Female,High School,Machine Learning,50,1,51,2,69,Medium,41,Kinesthetic,3,No
S00669,40,Male,Postgraduate,Machine Learning,177,3,62,2,81,High,91,Kinesthetic,5,No
S00670,42,Male,Undergraduate,Machine Learning,208,5,72,4,69,Medium,86,Reading/Writing,5,No
S00671,37,Male,Undergraduate,Python Basics,218,2,11,10,87,High,97,Auditory,5,Yes
S00672,28,Female,Undergraduate,Data Science,333,3,47,9,76,Medium,95,Kinesthetic,4,Yes
S00673,38,Male,High School,Machine Learning,329,5,87,5,90,High,100,Auditory,5,No
S00674,16,Female,Postgraduate,Data Science,339,1,52,2,72,Medium,100,Kinesthetic,4,No
S00675,40,Male,High School,Machine Learning,359,1,60,3,82,Low,100,Kinesthetic,5,Yes
S00676,28,Male,High School,Machine Learning,204,2,62,6,78,Medium,88,Visual,2,No
S00677,21,Female,Undergraduate,Python Basics,178,5,80,6,64,Low,63,Auditory,2,Yes
S00678,17,Female,Undergraduate,Data Science,339,4,61,8,97,Medium,100,Auditory,4,No
S00679,37,Female,Undergraduate,Python Basics,236,1,57,3,90,Low,85,Kinesthetic,3,Yes
S00680,32,Female,High School,Python Basics,142,4,70,9,62,Medium,71,Auditory,3,No
S00681,49,Female,Undergraduate,Data Science,397,4,80,3,70,High,100,Kinesthetic,5,No
S00682,29,Male,Undergraduate,Python Basics,439,3,83,5,74,Medium,100,Auditory,5,No
S00683,39,Male,High School,Machine Learning,455,3,61,4,100,High,100,Visual,3,No
S00684,42,Female,Postgraduate,Machine Learning,318,1,54,6,93,Medium,100,Auditory,4,No
S00685,24,Male,High School,Machine Learning,362,4,65,5,84,Medium,100,Visual,5,No
S00686,31,Male,Undergraduate,Machine Learning,436,3,86,7,59,High,100,Reading/Writing,4,Yes
S00687,36,Male,Undergraduate,Machine Learning,235,5,81,4,89,High,100,Auditory,3,No
S00688,40,Female,High School,Python Basics,411,5,62,5,83,High,100,Auditory,5,No
S00689,39,Male,Undergraduate,Python Basics,327,5,45,6,74,Medium,100,Auditory,5,Yes
S00690,31,Male,Postgraduate,Machine Learning,391,5,86,5,100,Medium,100,Visual,3,No
S00691,27,Male,High School,Machine Learning,318,4,86,8,80,Medium,100,Auditory,5,No
S00692,34,Female,Postgraduate,Python Basics,429,5,53,3,98,Medium,100,Auditory,4,No
S00693,39,Male,Undergraduate,Data Science,322,4,61,3,75,Medium,100,Kinesthetic,5,No
S00694,18,Male,High School,Python Basics,151,1,75,2,69,High,89,Reading/Writing,3,No
S00695,24,Female,Undergraduate,Python Basics,445,1,67,5,63,High,100,Visual,5,No
S00696,17,Female,Undergraduate,Python Basics,205,5,40,6,77,Medium,93,Kinesthetic,5,Yes
S00697,32,Male,Undergraduate,Python Basics,425,5,53,7,80,Low,100,Visual,5,Yes
S00698,36,Male,Undergraduate,Python Basics,290,5,78,4,68,High,99,Kinesthetic,5,No
S00699,48,Female,Postgraduate,Data Science,417,1,65,3,67,Low,100,Reading/Writing,3,Yes
S00700,22,Female,Postgraduate,Machine Learning,413,3,75,7,100,Medium,100,Kinesthetic,4,No
S00701,33,Female,Undergraduate,Machine Learning,343,1,73,6,93,Low,100,Visual,5,Yes
S00702,20,Female,Undergraduate,Data Science,350,5,73,11,100,Medium,100,Auditory,5,No
S00703,40,Female,Undergraduate,Machine Learning,342,3,72,10,57,High,100,Auditory,5,Yes
S00704,48,Female,Undergraduate,Machine Learning,98,3,57,7,100,Low,71,Reading/Writing,4,Yes
S00705,20,Female,High School,Machine Learning,311,2,65,10,69,Medium,100,Visual,5,No
S00706,47,Male,Undergraduate,Data Science,188,4,72,4,62,Medium,80,Visual,3,No
S00707,36,Female,Undergraduate,Data Science,317,5,95,6,88,High,100,Visual,5,No
S00708,35,Female,High School,Machine Learning,185,4,55,4,52,High,78,Reading/Writing,2,Yes
S00709,20,Male,High School,Machine Learning,181,2,74,8,98,Medium,82,Auditory,3,No
S00710,20,Female,Undergraduate,Machine Learning,460,4,66,8,84,Low,100,Kinesthetic,4,Yes
S00711,18,Female,Undergraduate,Python Basics,406,5,81,6,72,Medium,100,Reading/Writing,5,No
S00712,44,Male,Undergraduate,Python Basics,299,2,62,9,96,Medium,100,Kinesthetic,5,No
S00713,25,Female,Undergraduate,Python Basics,318,4,85,2,81,Medium,100,Auditory,4,No
S00714,44,Male,Undergraduate,Data Science,275,1,50,4,80,Low,81,Reading/Writing,3,Yes
S00715,45,Male,Undergraduate,Machine Learning,356,3,68,2,91,Low,100,Auditory,5,Yes
S00716,38,Male,High School,Data Science,232,2,70,5,72,Medium,67,Kinesthetic,4,No
S00717,23,Male,High School,Data Science,399,1,51,10,64,Medium,100,Visual,5,No
S00718,17,Female,Undergraduate,Data Science,274,5,74,8,80,High,100,Visual,5,No
S00719,45,Male,Undergraduate,Machine Learning,258,3,81,2,62,Low,100,Kinesthetic,5,Yes
S00720,38,Male,High School,Python Basics,302,2,62,4,74,Medium,100,Visual,5,No
S00721,45,Female,Undergraduate,Machine Learning,240,3,77,4,67,High,85,Kinesthetic,4,No
S00722,20,Male,High School,Machine Learning,332,2,53,2,75,Medium,100,Reading/Writing,5,No
S00723,16,Male,Undergraduate,Data Science,246,2,47,6,66,High,80,Reading/Writing,5,Yes
S00724,34,Male,Undergraduate,Data Science,346,4,78,7,77,Low,100,Reading/Writing,5,Yes
S00725,42,Male,Undergraduate,Data Science,421,3,57,4,96,Medium,100,Visual,5,No
S00726,25,Female,Postgraduate,Python Basics,228,3,40,3,67,High,81,Auditory,5,Yes
S00727,18,Male,High School,Python Basics,286,1,50,5,85,Medium,95,Visual,5,No
S00728,29,Female,Postgraduate,Python Basics,346,5,90,7,56,High,100,Visual,5,Yes
S00729,20,Female,Undergraduate,Machine Learning,256,1,77,1,77,Medium,96,Auditory,3,No
S00730,44,Male,Undergraduate,Data Science,346,4,51,7,67,Medium,100,Auditory,4,No
S00731,16,Male,Undergraduate,Machine Learning,355,2,42,8,80,Medium,100,Auditory,5,Yes
S00732,29,Male,Undergraduate,Python Basics,408,4,61,3,72,Medium,100,Auditory,5,No
S00733,25,Male,Undergraduate,Data Science,239,4,83,4,96,Low,100,Visual,3,Yes
S00734,22,Female,Undergraduate,Python Basics,205,1,59,7,75,Medium,86,Kinesthetic,5,No
S00735,40,Female,High School,Data Science,269,2,61,6,97,Medium,100,Reading/Writing,5,No
S00736,19,Female,High School,Data Science,203,5,60,8,49,Medium,76,Kinesthetic,5,Yes
S00737,20,Male,Undergraduate,Machine Learning,356,4,63,1,81,High,100,Visual,5,No
S00738,40,Female,Undergraduate,Machine Learning,183,5,82,8,85,Medium,78,Auditory,4,No
S00739,18,Male,Undergraduate,Python Basics,533,2,65,9,67,High,100,Reading/Writing,5,No
S00740,33,Male,High School,Machine Learning,429,2,60,4,81,Medium,100,Reading/Writing,4,No
S00741,34,Male,Undergraduate,Machine Learning,301,1,71,4,89,Medium,100,Kinesthetic,5,No
S00742,47,Male,Postgraduate,Machine Learning,386,3,67,2,98,High,100,Visual,5,No
S00743,34,Male,Postgraduate,Data Science,136,1,76,4,78,Medium,73,Visual,1,No
S00744,26,Female,Undergraduate,Machine Learning,552,5,59,4,74,Medium,100,Visual,5,No
S00745,15,Female,Undergraduate,Python Basics,240,1,66,2,72,Low,72,Reading/Writing,3,Yes
S00746,40,Male,Postgraduate,Data Science,287,2,77,7,83,Medium,100,Kinesthetic,5,No
S00747,28,Female,Undergraduate,Data Science,114,4,91,7,70,Medium,81,Reading/Writing,5,No
S00748,25,Male,Undergraduate,Machine Learning,348,3,49,4,91,High,100,Reading/Writing,5,Yes
S00749,27,Male,Postgraduate,Data Science,189,2,61,6,56,Medium,59,Auditory,4,Yes
S00750,17,Male,Undergraduate,Python Basics,310,4,48,6,78,High,100,Kinesthetic,5,Yes
S00751,47,Female,Undergraduate,Python Basics,245,5,55,3,59,Medium,100,Auditory,5,Yes
S00752,20,Male,High School,Data Science,192,5,70,5,81,Medium,98,Visual,5,No
S00753,24,Male,High School,Machine Learning,219,5,39,11,91,Medium,93,Reading/Writing,5,Yes
S00754,19,Female,Postgraduate,Machine Learning,322,1,68,7,84,High,100,Kinesthetic,4,No
S00755,37,Female,Undergraduate,Data Science,171,5,78,6,73,High,100,Visual,4,No
S00756,24,Female,Undergraduate,Python Basics,225,5,68,0,92,Low,90,Kinesthetic,5,Yes
S00757,16,Male,High School,Data Science,366,1,49,10,38,Medium,100,Reading/Writing,5,Yes
S00758,27,Male,Undergraduate,Machine Learning,560,4,64,6,80,Medium,100,Kinesthetic,5,No
S00759,16,Female,Undergraduate,Machine Learning,347,2,95,6,72,Low,100,Visual,5,Yes
S00760,34,Male,High School,Data Science,208,3,58,3,88,Medium,100,Auditory,5,No
S00761,15,Female,Postgraduate,Python Basics,263,5,58,7,42,High,97,Reading/Writing,5,Yes
S00762,23,Female,High School,Data Science,303,5,35,6,71,Medium,97,Auditory,4,Yes
S00763,31,Male,Undergraduate,Python Basics,265,5,85,1,73,High,100,Reading/Writing,5,No
S00764,23,Male,Undergraduate,Python Basics,390,1,43,5,92,Medium,100,Visual,4,Yes
S00765,25,Female,High School,Data Science,321,1,63,4,69,Medium,100,Reading/Writing,3,No
S00766,29,Female,Postgraduate,Data Science,390,1,93,3,80,Low,100,Auditory,5,Yes
S00767,38,Female,Undergraduate,Python Basics,268,3,71,5,83,High,93,Reading/Writing,5,No
S00768,49,Female,Undergraduate,Python Basics,432,2,69,5,81,High,100,Visual,4,No
S00769,44,Male,High School,Python Basics,283,5,65,5,80,Medium,88,Reading/Writing,4,No
S00770,45,Female,High School,Python Basics,202,4,72,5,83,Low,94,Auditory,4,Yes
S00771,19,Female,High School,Machine Learning,517,5,71,0,82,Medium,100,Visual,5,No
S00772,28,Female,Undergraduate,Data Science,117,5,78,0,100,Low,86,Auditory,4,Yes
S00773,25,Male,Undergraduate,Python Basics,226,5,33,9,51,Medium,75,Reading/Writing,2,Yes
S00774,23,Male,Postgraduate,Data Science,237,5,75,6,70,High,93,Kinesthetic,4,No
S00775,48,Female,Undergraduate,Python Basics,550,2,70,6,81,Low,100,Auditory,5,Yes
S00776,26,Male,Postgraduate,Data Science,480,4,100,1,100,High,100,Reading/Writing,5,No
S00777,49,Male,Undergraduate,Data Science,449,1,61,7,95,Medium,100,Kinesthetic,5,No
S00778,49,Male,Undergraduate,Python Basics,266,4,71,5,97,Medium,100,Kinesthetic,4,No
S00779,15,Female,High School,Python Basics,542,5,75,6,81,High,100,Visual,4,No
S00780,36,Female,Undergraduate,Data Science,336,4,74,6,100,Low,100,Kinesthetic,4,Yes
S00781,43,Male,High School,Data Science,397,5,51,6,71,High,100,Auditory,5,No
S00782,22,Female,High School,Data Science,317,4,80,2,96,Low,100,Auditory,5,Yes
S00783,25,Female,Undergraduate,Machine Learning,295,3,52,3,83,Medium,99,Kinesthetic,5,No
S00784,28,Male,Postgraduate,Python Basics,274,4,74,4,85,High,100,Reading/Writing,5,No
S00785,44,Male,High School,Machine Learning,279,1,49,5,60,High,97,Auditory,5,Yes
S00786,49,Female,Undergraduate,Machine Learning,360,1,58,3,54,Medium,86,Auditory,4,Yes
S00787,35,Male,Postgraduate,Python Basics,336,4,60,6,76,Medium,85,Visual,4,No
S00788,19,Female,Undergraduate,Python Basics,296,4,64,6,80,High,100,Reading/Writing,4,No
S00789,33,Female,High School,Machine Learning,450,2,62,4,64,High,100,Kinesthetic,5,No
S00790,28,Male,High School,Python Basics,50,4,73,6,96,Low,51,Reading/Writing,2,Yes
S00791,40,Female,Undergraduate,Data Science,350,1,60,6,68,High,100,Visual,4,No
S00792,18,Female,Undergraduate,Data Science,371,3,79,9,91,Medium,100,Visual,4,No
S00793,39,Male,Postgraduate,Machine Learning,414,1,53,2,75,Medium,100,Reading/Writing,5,No
S00794,39,Male,Undergraduate,Machine Learning,293,2,70,4,93,Medium,100,Visual,5,No
S00795,32,Male,High School,Python Basics,320,4,55,2,62,Medium,95,Visual,5,No
S00796,22,Female,High School,Python Basics,398,3,92,5,60,High,100,Visual,5,No
S00797,28,Male,Undergraduate,Machine Learning,449,1,68,4,89,Medium,100,Reading/Writing,5,No
S00798,46,Male,High School,Machine Learning,269,3,55,6,93,High,100,Visual,5,No
S00799,47,Male,Undergraduate,Data Science,326,5,96,4,89,Low,100,Kinesthetic,3,Yes
S00800,37,Male,Undergraduate,Data Science,467,1,69,4,68,High,100,Kinesthetic,5,No
S00801,29,Female,High School,Python Basics,87,5,59,5,91,High,74,Auditory,5,No
S00802,47,Female,High School,Data Science,230,3,64,3,89,Medium,100,Kinesthetic,5,No
S00803,39,Male,Undergraduate,Python Basics,446,4,50,7,62,Medium,100,Auditory,5,No
S00804,31,Female,High School,Python Basics,409,4,50,7,86,Medium,100,Reading/Writing,5,No
S00805,47,Male,High School,Python Basics,352,4,86,6,85,High,100,Visual,4,No
S00806,16,Male,Undergraduate,Data Science,255,5,56,4,82,High,100,Kinesthetic,5,No
S00807,28,Female,Postgraduate,Machine Learning,211,4,47,6,58,Low,73,Auditory,3,Yes
S00808,20,Female,High School,Machine Learning,240,2,73,2,94,High,100,Reading/Writing,4,No
S00809,20,Male,Undergraduate,Data Science,454,1,86,5,75,Medium,100,Auditory,5,No
S00810,17,Male,Undergraduate,Machine Learning,237,1,79,4,73,Medium,100,Visual,5,No
S00811,21,Female,Undergraduate,Python Basics,310,3,100,11,91,High,100,Kinesthetic,5,No
S00812,22,Male,Postgraduate,Machine Learning,224,5,100,5,81,Medium,100,Reading/Writing,5,No
S00813,29,Female,Undergraduate,Data Science,384,1,48,3,58,High,100,Auditory,5,Yes
S00814,43,Male,Postgraduate,Machine Learning,246,5,65,3,100,Medium,100,Reading/Writing,4,No
S00815,47,Male,High School,Python Basics,290,3,42,2,82,Low,93,Auditory,3,Yes
S00816,44,Female,High School,Python Basics,131,4,50,7,79,Medium,86,Auditory,5,No
S00817,41,Female,Postgraduate,Data Science,138,3,82,4,82,Low,80,Visual,5,Yes
S00818,43,Female,Undergraduate,Data Science,300,2,68,3,82,High,100,Visual,5,No
S00819,47,Female,High School,Data Science,167,4,89,6,85,Medium,79,Auditory,3,No
S00820,41,Female,Undergraduate,Python Basics,510,4,55,2,97,Medium,100,Kinesthetic,5,No
S00821,47,Female,Postgraduate,Machine Learning,93,4,59,7,100,Low,70,Reading/Writing,2,Yes
S00822,18,Female,Postgraduate,Machine Learning,219,3,74,4,78,Medium,85,Reading/Writing,5,No
S00823,36,Male,Undergraduate,Data Science,301,2,79,5,93,High,100,Visual,5,No
S00824,16,Male,Postgraduate,Machine Learning,263,5,45,9,88,Low,100,Kinesthetic,5,Yes
S00825,24,Male,High School,Machine Learning,189,3,62,4,91,Medium,99,Auditory,5,No
S00826,19,Female,High School,Data Science,204,1,67,4,100,High,82,Visual,2,No
S00827,24,Female,Undergraduate,Data Science,200,1,73,6,95,Medium,100,Auditory,5,No
S00828,47,Female,High School,Python Basics,271,3,80,1,89,High,100,Auditory,5,No
S00829,27,Male,Undergraduate,Python Basics,495,5,68,6,72,Low,100,Visual,5,Yes
S00830,45,Female,Undergraduate,Python Basics,307,1,43,5,83,Medium,100,Kinesthetic,5,Yes
S00831,38,Female,Undergraduate,Python Basics,418,5,41,5,63,High,100,Reading/Writing,5,Yes
S00832,29,Male,High School,Machine Learning,350,4,65,6,88,High,100,Visual,4,No
S00833,43,Female,High School,Machine Learning,411,3,61,7,85,Medium,100,Kinesthetic,5,No
S00834,22,Male,Undergraduate,Python Basics,50,4,56,5,59,Medium,54,Auditory,3,Yes
S00835,19,Male,Undergraduate,Python Basics,269,1,75,6,75,Medium,100,Visual,5,No
S00836,43,Female,Undergraduate,Data Science,430,5,52,6,69,Low,100,Reading/Writing,5,Yes
S00837,18,Female,Undergraduate,Machine Learning,242,4,58,5,91,High,100,Reading/Writing,4,No
S00838,26,Female,Undergraduate,Machine Learning,476,1,79,6,78,Medium,100,Auditory,5,No
S00839,16,Male,Postgraduate,Python Basics,448,2,52,4,58,Medium,100,Visual,5,Yes
S00840,41,Male,High School,Machine Learning,253,4,72,3,88,High,100,Reading/Writing,5,No
S00841,45,Male,High School,Data Science,249,2,63,5,84,Medium,98,Visual,4,No
S00842,40,Female,Postgraduate,Data Science,198,2,67,8,83,Medium,87,Reading/Writing,5,No
S00843,41,Female,Undergraduate,Machine Learning,237,1,75,5,65,High,94,Auditory,5,No
S00844,19,Female,Postgraduate,Python Basics,176,3,70,2,90,High,100,Auditory,5,No
S00845,34,Female,Undergraduate,Machine Learning,342,5,49,7,78,Medium,100,Visual,5,Yes
S00846,25,Male,Undergraduate,Data Science,154,1,43,6,76,Low,72,Kinesthetic,3,Yes
S00847,24,Male,Undergraduate,Python Basics,360,4,72,5,63,Medium,100,Kinesthetic,4,No
S00848,20,Male,Undergraduate,Machine Learning,362,5,56,5,62,Medium,100,Auditory,5,No
S00849,22,Male,Undergraduate,Python Basics,133,3,80,3,100,Medium,92,Reading/Writing,5,No
S00850,37,Female,Undergraduate,Python Basics,454,1,66,7,64,High,100,Kinesthetic,5,No
S00851,40,Female,Undergraduate,Data Science,351,3,40,7,47,High,100,Auditory,5,Yes
S00852,26,Female,Postgraduate,Python Basics,374,4,96,7,78,High,100,Reading/Writing,4,No
S00853,40,Male,High School,Machine Learning,224,1,56,3,77,Medium,89,Reading/Writing,4,No
S00854,27,Male,High School,Python Basics,362,4,64,5,67,High,100,Kinesthetic,5,No
S00855,32,Female,Undergraduate,Python Basics,412,5,76,6,70,Medium,100,Auditory,5,No
S00856,39,Female,Undergraduate,Machine Learning,290,5,68,5,80,Low,95,Reading/Writing,4,Yes
S00857,47,Male,Postgraduate,Data Science,500,3,80,5,88,Low,100,Reading/Writing,5,Yes
S00858,26,Female,Undergraduate,Data Science,304,3,50,4,58,Medium,95,Visual,5,Yes
S00859,18,Male,Undergraduate,Machine Learning,414,5,87,5,77,High,100,Visual,3,No
S00860,19,Male,Undergraduate,Machine Learning,329,2,74,5,82,Medium,100,Kinesthetic,4,No
S00861,22,Male,Undergraduate,Data Science,358,5,58,5,77,Medium,100,Visual,4,No
S00862,42,Female,Postgraduate,Python Basics,132,1,65,5,71,High,80,Auditory,4,No
